timestamp,angular_velocity,linear_velocity
2024-11-22 13:29:41.095502,0.0,0.0
2024-11-22 13:29:41.196621,0.0,0.0
2024-11-22 13:29:41.296708,0.0,0.0
2024-11-22 13:29:41.397301,0.0,0.0
2024-11-22 13:29:41.497858,0.0,0.0
2024-11-22 13:29:41.597923,0.0,0.0
2024-11-22 13:29:41.698387,0.0,0.0
2024-11-22 13:29:41.799283,0.0,0.0
2024-11-22 13:29:41.899273,0.0,0.0
2024-11-22 13:29:41.999730,0.0,0.0
2024-11-22 13:29:42.100415,0.0,0.0
2024-11-22 13:29:42.201076,0.0,0.0
2024-11-22 13:29:42.301865,0.0,0.0
2024-11-22 13:29:42.402592,0.0,0.0
2024-11-22 13:29:42.503120,0.0,0.0
2024-11-22 13:29:42.603662,0.0,0.0
2024-11-22 13:29:42.703993,0.0,0.0
2024-11-22 13:29:42.804378,0.0,0.0
2024-11-22 13:29:42.905134,0.0,0.0
2024-11-22 13:29:43.005198,0.0,0.0
2024-11-22 13:29:43.105613,0.0,0.0
2024-11-22 13:29:43.206094,0.0,0.0
2024-11-22 13:29:43.306366,0.0,0.0
2024-11-22 13:29:43.406666,0.0,0.0
2024-11-22 13:29:43.507235,0.0,0.0
2024-11-22 13:29:43.607566,0.0,0.0
2024-11-22 13:29:43.708111,0.0,0.0
2024-11-22 13:29:43.809037,0.0,0.0
2024-11-22 13:29:43.909268,0.0,0.0
2024-11-22 13:29:44.009663,0.0,0.0
2024-11-22 13:29:44.110448,0.0,0.0
2024-11-22 13:29:44.211098,0.0,0.0
2024-11-22 13:29:44.311509,0.0,0.0
2024-11-22 13:29:44.411804,0.0,0.0
2024-11-22 13:29:44.512476,0.0,0.0
2024-11-22 13:29:44.612681,0.0,0.0
2024-11-22 13:29:44.713243,0.0,0.0
2024-11-22 13:29:44.813974,0.0,0.0
2024-11-22 13:29:44.914520,0.0,0.0
2024-11-22 13:29:45.014651,0.0,0.0
2024-11-22 13:29:45.115819,0.0,0.0
2024-11-22 13:29:45.215943,0.0,0.0
2024-11-22 13:29:45.316809,0.0,0.0
2024-11-22 13:29:45.416766,0.0,0.0
2024-11-22 13:29:45.517406,0.0,0.0
2024-11-22 13:29:45.617797,0.0,0.0
2024-11-22 13:29:45.717795,0.0,0.0
2024-11-22 13:29:45.818320,0.0,0.0
2024-11-22 13:29:45.919194,0.0,0.0
2024-11-22 13:29:46.019697,0.0,0.0
2024-11-22 13:29:46.119803,0.0,0.0
2024-11-22 13:29:46.221558,0.0,0.0
2024-11-22 13:29:46.321622,0.0,0.0
2024-11-22 13:29:46.422457,0.0,0.0
2024-11-22 13:29:46.523320,0.0,0.0
2024-11-22 13:29:46.624241,0.0,0.0
2024-11-22 13:29:46.725173,0.0,0.0
2024-11-22 13:29:46.825994,0.0,0.0
2024-11-22 13:29:46.926577,0.0,0.0
2024-11-22 13:29:47.027205,0.0,0.0
2024-11-22 13:29:47.127557,0.0,0.0
2024-11-22 13:29:47.228896,0.0,0.0
2024-11-22 13:29:47.329971,0.0,0.0
2024-11-22 13:29:47.430144,0.0,0.0
2024-11-22 13:29:47.531155,0.0,0.0
2024-11-22 13:29:47.631716,0.0,0.0
2024-11-22 13:29:47.732498,0.0,0.0
